,resp,rt,acc,onset,onseterror,duration,durationerror,trialtype,matchtype,letter,location1,location2,location3,location4,content,wm,dt,runnum, blocknum,trialnum,subj_idx,response
4060,1!,0.833234968,1,113.0956018,-0.004398207,0.499944023,-5.60E-05,verbalBaseline2,NonMatch,T,845,579,945,679,verbal,no,yes,5,3,20,4,0
4061,4$,1.067596237,1,120.0948399,-0.005160139,0.499941843,-5.82E-05,spatialInit,Match,T,910,380,1010,480,spatial,no,no,5,4,29,4,1
4062,4$,1.41471834,1,123.594466,-0.005534037,0.499941138,-5.89E-05,spatialBaseline1,Match,A,975,579,1075,679,spatial,no,no,5,4,29,4,1
4063,4$,1.169915006,1,127.0940773,-0.005922742,0.499951485,-4.85E-05,spatialBaseline1,Match,T,805,456,905,556,spatial,no,no,5,4,29,4,1
4064,1!,0.963059037,1,130.1937443,-0.006255651,0.499946354,-5.36E-05,SpatialControlTaskCue,NonMatch,B,975,579,1075,679,spatial,no,no,5,4,29,4,0
4065,4$,1.046218658,1,133.6933678,-0.006632248,0.499947259,-5.27E-05,SpatialControlBack,Match,A,805,456,905,556,spatial,no,no,5,4,29,4,1
4066,1!,2.133324428,1,137.1929823,-0.007017683,0.499949926,-5.01E-05,SpatialControlBack,NonMatch,T,910,380,1010,480,spatial,no,no,5,4,29,4,0
4067,4$,1.10386876,1,140.7092776,0.009277599,0.499943788,-5.62E-05,SpatialControlBack,Match,B,975,579,1075,679,spatial,no,no,5,4,29,4,1
4068,4$,1.152965604,1,143.8089362,0.008936188,0.499947595,-5.24E-05,SpatialControlBack,Match,T,805,456,905,556,spatial,no,no,5,4,29,4,1
4069,4$,0.896159632,1,146.9086104,0.008610355,0.499936141,-6.39E-05,ReturnSpatialControlBack,Match,E,1015,456,1115,556,spatial,no,no,5,4,29,4,1
4070,4$,2.106275399,1,150.8081805,0.008180528,0.499935571,-6.44E-05,spatialBaseline2,Match,B,845,579,945,679,spatial,no,no,5,4,29,4,1
4071,1!,0.927482759,1,153.9078484,0.007848356,0.499942581,-5.74E-05,spatialBaseline2,NonMatch,T,805,456,905,556,spatial,no,no,5,4,29,4,0
4072,4$,1.218752707,1,160.1071712,0.007171169,0.499945314,-5.47E-05,verbalInit,Match,T,910,380,1010,480,verbal,yes,no,5,5,40,4,1
4073,1!,0.92895794,1,164.0067505,0.006750514,0.499945766,-5.42E-05,verbalBaseline1,NonMatch,L,1015,456,1115,556,verbal,yes,no,5,5,40,4,0
4074,1!,1.746049039,1,167.5063745,0.00637447,0.499938992,-6.10E-05,VerbalDelayTaskCue,NonMatch,A,805,456,905,556,verbal,yes,no,5,5,40,4,0
4075,1!,2.592150101,1,170.6060354,0.006035389,0.499928494,-7.15E-05,VerbalDelayBack,NonMatch,L,1015,456,1115,556,verbal,yes,no,5,5,40,4,0
4076,4$,1.465419391,1,174.5056046,0.005604555,0.499945884,-5.41E-05,VerbalDelayBack,Match,E,805,456,905,556,verbal,yes,no,5,5,40,4,1
4077,1!,1.375571672,1,177.6052726,0.005272602,0.499941558,-5.84E-05,VerbalDelayBack,NonMatch,B,845,579,945,679,verbal,yes,no,5,5,40,4,0
4078,1!,1.094719003,1,180.7049323,0.004932281,0.499945599,-5.44E-05,VerbalDelayBack,NonMatch,T,910,380,1010,480,verbal,yes,no,5,5,40,4,0
4079,1!,1.680820133,1,184.6045147,0.004514745,0.49994897,-5.10E-05,ReturnVerbalDelayBack,NonMatch,E,805,456,905,556,verbal,yes,no,5,5,40,4,0
4080,4$,1.501052334,1,188.5040935,0.004093453,0.499942514,-5.75E-05,verbalBaseline2,Match,T,975,579,1075,679,verbal,yes,no,5,5,40,4,1
4081,4$,1.370403514,1,195.9032819,0.00328193,0.499957002,-4.30E-05,spatialInit,Match,A,910,380,1010,480,spatial,yes,yes,5,6,49,4,1
4082,1!,0.929607666,1,199.802869,0.002869006,0.499941608,-5.84E-05,spatialBaseline1,NonMatch,B,845,579,945,679,spatial,yes,yes,5,6,49,4,0
4083,1!,0.980784205,1,203.7024349,0.002434885,0.499954906,-4.51E-05,SpatialBranchTaskCue,NonMatch,A,975,579,1075,679,spatial,yes,yes,5,6,49,4,0
